rank,pc_number,pc_index,coefficient,abs_coefficient
453,340,339,-0.019493715837597847,0.019493715837597847
454,463,462,-0.01944262534379959,0.01944262534379959
455,156,155,-0.018336912617087364,0.018336912617087364
456,240,239,-0.018331682309508324,0.018331682309508324
457,499,498,0.017376279458403587,0.017376279458403587
458,151,150,-0.017285950481891632,0.017285950481891632
459,475,474,-0.01679898425936699,0.01679898425936699
460,476,475,0.016471128910779953,0.016471128910779953
461,189,188,0.01630319654941559,0.01630319654941559
462,128,127,-0.01625172607600689,0.01625172607600689
463,468,467,-0.015991682186722755,0.015991682186722755
464,291,290,0.0159501563757658,0.0159501563757658
465,374,373,0.015911957249045372,0.015911957249045372
466,208,207,-0.015911150723695755,0.015911150723695755
467,293,292,0.015767507255077362,0.015767507255077362
468,250,249,0.015121755190193653,0.015121755190193653
469,174,173,-0.01506761834025383,0.01506761834025383
470,455,454,-0.014955559745430946,0.014955559745430946
471,507,506,-0.014709225855767727,0.014709225855767727
472,418,417,-0.012926681898534298,0.012926681898534298
473,495,494,0.012588134035468102,0.012588134035468102
474,445,444,-0.01258521992713213,0.01258521992713213
475,55,54,-0.011976437643170357,0.011976437643170357
476,479,478,0.011822126805782318,0.011822126805782318
477,382,381,-0.011118775233626366,0.011118775233626366
478,230,229,-0.010854816064238548,0.010854816064238548
479,238,237,0.010022973641753197,0.010022973641753197
480,458,457,0.009240635670721531,0.009240635670721531
481,116,115,-0.009102268144488335,0.009102268144488335
482,332,331,-0.009083149023354053,0.009083149023354053
483,15,14,0.0087933000177145,0.0087933000177145
484,150,149,-0.0082911541685462,0.0082911541685462
485,303,302,0.008186191320419312,0.008186191320419312
486,457,456,0.00788104347884655,0.00788104347884655
487,36,35,0.007770664989948273,0.007770664989948273
488,56,55,0.007745296228677034,0.007745296228677034
489,417,416,0.007572638802230358,0.007572638802230358
490,256,255,-0.007517650257796049,0.007517650257796049
491,398,397,0.007058923598378897,0.007058923598378897
492,305,304,-0.006708839442580938,0.006708839442580938
493,326,325,0.005962861701846123,0.005962861701846123
494,261,260,0.005354317836463451,0.005354317836463451
495,425,424,0.005205759312957525,0.005205759312957525
496,487,486,-0.005108387675136328,0.005108387675136328
497,322,321,-0.003954597283154726,0.003954597283154726
498,175,174,-0.0038197077810764313,0.0038197077810764313
499,470,469,-0.0037467172369360924,0.0037467172369360924
500,433,432,-0.003450011368840933,0.003450011368840933
501,108,107,-0.0034158595371991396,0.0034158595371991396
502,373,372,-0.0031463606283068657,0.0031463606283068657
503,124,123,-0.002924310276284814,0.002924310276284814
504,219,218,0.0021392698399722576,0.0021392698399722576
505,170,169,0.0014151372015476227,0.0014151372015476227
506,441,440,0.0013907194370403886,0.0013907194370403886
507,378,377,0.00134696951135993,0.00134696951135993
508,409,408,-0.0010079964995384216,0.0010079964995384216
509,446,445,-0.0006531549734063447,0.0006531549734063447
510,91,90,0.0004681739956140518,0.0004681739956140518
511,10,9,0.0001602217962499708,0.0001602217962499708
512,314,313,-6.0961483541177586e-05,6.0961483541177586e-05
