file,time,class,n_valid_pixels,n_disagree_pixels,fraction_disagree_all_pixels,n_either_positive,n_both_positive,fraction_agreement_given_positive_union,fraction_disagreement_given_positive_union
2017-08-27T06:00:00.000000000.nc,2017-08-27T06:00:00.000000000,Atmospheric River (AR),1038240,40276,0.03879257204499923,62219,21943,0.35267362059820956,0.6473263794017905
2017-08-28T13:00:00.000000000.nc,2017-08-28T13:00:00.000000000,Atmospheric River (AR),1038240,48588,0.04679842810910772,86503,37915,0.4383084979711686,0.5616915020288313
2017-08-28T20:00:00.000000000.nc,2017-08-28T20:00:00.000000000,Atmospheric River (AR),1038240,50906,0.04903105255047003,75865,24959,0.32899228893429117,0.6710077110657088
2017-09-02T02:00:00.000000000.nc,2017-09-02T02:00:00.000000000,Atmospheric River (AR),1038240,72839,0.07015622592078903,133879,61040,0.45593408973774824,0.5440659102622517
2017-09-02T20:00:00.000000000.nc,2017-09-02T20:00:00.000000000,Atmospheric River (AR),1038240,46057,0.04436064879026044,70514,24457,0.3468389256034263,0.6531610743965738
2017-09-03T15:00:00.000000000.nc,2017-09-03T15:00:00.000000000,Atmospheric River (AR),1038240,50057,0.048213322545846815,77862,27805,0.35710616218437746,0.6428938378156225
2017-09-06T06:00:00.000000000.nc,2017-09-06T06:00:00.000000000,Atmospheric River (AR),1038240,41134,0.03961897056557251,65185,24051,0.36896525274219527,0.6310347472578047
2017-09-06T19:00:00.000000000.nc,2017-09-06T19:00:00.000000000,Atmospheric River (AR),1038240,81714,0.07870434581599631,111483,29769,0.267027259761578,0.732972740238422
2017-09-07T21:00:00.000000000.nc,2017-09-07T21:00:00.000000000,Atmospheric River (AR),1038240,58665,0.0565042764678687,76629,17964,0.23442821908154876,0.7655717809184512
2017-09-12T11:00:00.000000000.nc,2017-09-12T11:00:00.000000000,Atmospheric River (AR),1038240,65024,0.06262906457081215,115249,50225,0.4357955383560812,0.5642044616439188
2017-09-19T09:00:00.000000000.nc,2017-09-19T09:00:00.000000000,Atmospheric River (AR),1038240,62204,0.05991292957312375,104923,42719,0.4071461929224288,0.5928538070775712
2017-09-19T20:00:00.000000000.nc,2017-09-19T20:00:00.000000000,Atmospheric River (AR),1038240,54902,0.05287987363230082,86034,31132,0.3618569402794244,0.6381430597205756
2017-09-21T10:00:00.000000000.nc,2017-09-21T10:00:00.000000000,Atmospheric River (AR),1038240,31233,0.03008263985205733,56983,25750,0.45188915992488987,0.5481108400751101
2017-09-24T23:00:00.000000000.nc,2017-09-24T23:00:00.000000000,Atmospheric River (AR),1038240,40471,0.03898038989058406,87308,46837,0.5364571402391534,0.46354285976084664
2017-09-25T13:00:00.000000000.nc,2017-09-25T13:00:00.000000000,Atmospheric River (AR),1038240,49977,0.04813626907073509,96358,46381,0.4813404180244505,0.5186595819755495
2017-09-27T04:00:00.000000000.nc,2017-09-27T04:00:00.000000000,Atmospheric River (AR),1038240,75750,0.07296000924641702,131974,56224,0.4260233076211981,0.5739766923788019
2017-09-28T02:00:00.000000000.nc,2017-09-28T02:00:00.000000000,Atmospheric River (AR),1038240,32786,0.03157844043766374,67153,34367,0.5117716259884145,0.4882283740115855
2017-09-28T16:00:00.000000000.nc,2017-09-28T16:00:00.000000000,Atmospheric River (AR),1038240,51145,0.04926124980736631,102194,51049,0.4995303051059749,0.500469694894025
2017-09-29T17:00:00.000000000.nc,2017-09-29T17:00:00.000000000,Atmospheric River (AR),1038240,78084,0.07520804438280167,99387,21303,0.2143439282803586,0.7856560717196414
2017-10-01T09:00:00.000000000.nc,2017-10-01T09:00:00.000000000,Atmospheric River (AR),1038240,72151,0.06949356603482817,103948,31797,0.30589333128102514,0.6941066687189749
2017-10-03T13:00:00.000000000.nc,2017-10-03T13:00:00.000000000,Atmospheric River (AR),1038240,31181,0.030032555093234704,67063,35882,0.5350491329048804,0.4649508670951195
2017-10-04T06:00:00.000000000.nc,2017-10-04T06:00:00.000000000,Atmospheric River (AR),1038240,46786,0.04506279858221606,90434,43648,0.4826503306278612,0.5173496693721388
2017-10-06T11:00:00.000000000.nc,2017-10-06T11:00:00.000000000,Atmospheric River (AR),1038240,76646,0.07382300816766836,114887,38241,0.3328575034599215,0.6671424965400785
