gamma,lead_hours,global_mean_ivt,file
0.5,6.0,177.40558896416147,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,12.0,176.47535201771433,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,18.0,175.45814753423056,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,24.0,176.80922808920388,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,30.0,174.8791007485427,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,36.0,173.12837492974177,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,42.0,171.90896113469307,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,48.0,171.74288064765173,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,54.0,170.57051238170075,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,60.0,168.577507805493,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,66.0,167.47842736189742,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,72.0,166.8127740044892,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,78.0,166.34214999401672,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,84.0,165.11489346185311,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,90.0,164.9271863419603,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,96.0,164.87776682938136,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,102.0,166.08444639775738,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,108.0,165.9000933152494,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,114.0,165.91282708755742,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
0.5,120.0,165.3676732436068,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_0.5.nc
1.0,6.0,178.05172785477907,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,12.0,177.56213551418563,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,18.0,176.8906591463504,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,24.0,178.5820756211534,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,30.0,176.96391698743122,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,36.0,175.470919867912,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,42.0,174.47081950111965,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,48.0,174.4513572558042,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,54.0,173.36028189246503,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,60.0,171.41016642814645,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,66.0,170.42497473341217,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,72.0,169.82273165525683,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,78.0,169.46302321479368,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,84.0,168.2633475307969,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,90.0,168.23503971886743,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,96.0,168.27428261022808,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,102.0,169.61656017122567,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,108.0,169.5257105647487,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,114.0,169.7061207200823,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
1.0,120.0,169.23062924753896,plots/malins_experiments/pertubation_experiments/AR/Node_Hierarchy_Level_M5/pertubation_threshold_0.8/2021-01-03T06/data/gamma_1.0.nc
