target,n_features,alpha,r2_test,rmse_test,corr_test,n_train,n_test,n_selected
q850,100,1.0,0.8008836507797241,0.0018658590475129596,0.8949895600230681,11184264,3697362,100
q850,200,1.0,0.8322826027870178,0.0017124362287232809,0.9123076351260463,11184264,3697362,200
q850,400,1.0,0.8596529960632324,0.0015664875034600786,0.9272453260675404,11184264,3697362,400
q1000,5,1.0,0.6251621842384338,0.0034954283052854996,0.7913956333001202,11184264,3697362,5
q1000,10,1.0,0.639585018157959,0.003427520750857758,0.8007813740245787,11184264,3697362,10
q1000,25,1.0,0.7254781126976013,0.002991349655716825,0.8520942255515783,11184264,3697362,25
q1000,50,1.0,0.8084678053855896,0.0024986162440248276,0.899275067213024,11184264,3697362,50
q1000,100,1.0,0.8334722518920898,0.002329818059599666,0.9130436581245467,11184264,3697362,100
q1000,200,1.0,0.8550209403038025,0.0021738586099580262,0.9247045564936586,11184264,3697362,200
q1000,400,1.0,0.8807544708251953,0.0019715133174077167,0.9385204753836116,11184264,3697362,400
w50,5,1.0,0.001123964786529541,0.010551820170744752,0.033670010654901744,11184264,3697362,5
w50,10,1.0,0.001785874366760254,0.010548323252042021,0.04226524882853208,11184264,3697362,10
w50,25,1.0,0.0034781694412231445,0.010539377920563671,0.05928609880777804,11184264,3697362,25
w50,50,1.0,0.006815612316131592,0.010521714774292595,0.0826012333716233,11184264,3697362,50
w50,100,1.0,0.013657808303833008,0.010485408974500381,0.11686822765349163,11184264,3697362,100
w50,200,1.0,0.02708280086517334,0.010413807036233045,0.1646492063426846,11184264,3697362,200
w50,400,1.0,0.07300359010696411,0.010165075275581291,0.27031479358595084,11184264,3697362,400
w250,5,1.0,0.04103332757949829,0.10310942647845675,0.20286902100606963,11184264,3697362,5
w250,10,1.0,0.058001935482025146,0.10219311256919127,0.24094102499502162,11184264,3697362,10
w250,25,1.0,0.08091425895690918,0.10094263200291342,0.2845163769867424,11184264,3697362,25
w250,50,1.0,0.12397944927215576,0.09854934956885371,0.35224991018291546,11184264,3697362,50
w250,100,1.0,0.17295706272125244,0.09575481867648261,0.41595231851042336,11184264,3697362,100
w250,200,1.0,0.26554328203201294,0.09023597868613113,0.5154908252773356,11184264,3697362,200
w250,400,1.0,0.38159841299057007,0.0828002972429205,0.6177894863402951,11184264,3697362,400
w500,5,1.0,0.04258882999420166,0.17678466087154066,0.20718961716301654,11184264,3697362,5
w500,10,1.0,0.0650254487991333,0.17470093530432923,0.25522061549137,11184264,3697362,10
w500,25,1.0,0.09276491403579712,0.17208984883279937,0.3045954407654894,11184264,3697362,25
w500,50,1.0,0.1589314341545105,0.16569562252025927,0.39868763730477463,11184264,3697362,50
w500,100,1.0,0.2356959581375122,0.1579531944192486,0.4856504061741482,11184264,3697362,100
w500,200,1.0,0.29528898000717163,0.15167041063490933,0.5434357234034244,11184264,3697362,200
