pc_name,pc_index,total_timesteps,top1_variable,top1_mean_abs_r,top1_wins,top1_count,top2_variable,top2_mean_abs_r,top2_wins,top2_count,top3_variable,top3_mean_abs_r,top3_wins,top3_count
PC_220,220,1453,vertical_velocity_lev10,0.05303526162352549,72,1453,vertical_velocity_lev29,0.05070416975211344,20,1453,vertical_velocity_lev28,0.050623865983219496,22,1453
PC_221,221,1453,vertical_velocity_lev14,0.07227017705957549,167,1453,vertical_velocity_lev15,0.06658646083293972,24,1453,specific_humidity_lev05,0.0653214706136467,151,1453
PC_222,222,1453,temperature_lev36,0.05330135090029897,45,1453,temperature_lev35,0.05309310523092326,11,1453,temperature_lev34,0.05298192432886834,11,1453
PC_223,223,1453,10m_v_component_of_wind,0.07760029008404572,266,1453,v_component_of_wind_lev36,0.07601138214487455,63,1453,v_component_of_wind_lev35,0.07341127825993612,9,1453
PC_224,224,1453,vertical_velocity_lev21,0.08093907792154502,277,1453,vertical_velocity_lev22,0.07639743447565286,15,1453,vertical_velocity_lev20,0.075769472358324,28,1453
PC_225,225,1453,vertical_velocity_lev11,0.06115409532428578,156,1453,v_component_of_wind_lev10,0.04264976493442602,69,1453,geopotential_lev06,0.04107170567599587,28,1453
PC_226,226,1453,vertical_velocity_lev12,0.06742420896287836,158,1453,geopotential_lev09,0.06373430873675748,85,1453,geopotential_lev03,0.06291304204540583,6,1453
PC_227,227,1453,u_component_of_wind_lev11,0.07232058928783379,313,1453,vertical_velocity_lev09,0.06866226803847247,136,1453,toa_incident_solar_radiation,0.061737655171724325,225,1453
PC_228,228,1453,temperature_lev15,0.050294122781309646,65,1453,temperature_lev16,0.048857206628675785,34,1453,specific_humidity_lev10,0.04669321575243936,73,1453
PC_229,229,1453,v_component_of_wind_lev17,0.057578766844962256,166,1453,v_component_of_wind_lev20,0.050318969693033885,79,1453,v_component_of_wind_lev18,0.04955417139167782,6,1453
PC_230,230,1453,specific_humidity_lev10,0.10554845684418854,644,1453,temperature_lev17,0.06640255098696518,4,1453,specific_humidity_lev11,0.06537283423042399,142,1453
PC_231,231,1453,u_component_of_wind_lev10,0.048356401941626694,171,1453,temperature_lev11,0.04777588448108452,103,1453,temperature_lev14,0.04582781343460381,70,1453
PC_232,232,1453,vertical_velocity_lev09,0.07308396575773739,121,1453,vertical_velocity_lev11,0.06779666974402179,144,1453,specific_humidity_lev13,0.05783573653063144,53,1453
PC_233,233,1453,vertical_velocity_lev10,0.08284021361308917,637,1453,local_time_sin,0.046546401770965265,39,1453,longitude_cos,0.045271668709777876,120,1453
PC_234,234,1453,latitude_sin,0.04382820541395406,66,1453,latitude,0.042585467916732817,7,1453,specific_humidity_lev19,0.0406337815250006,91,1453
PC_235,235,1453,v_component_of_wind_lev09,0.08333004778731776,536,1453,temperature_lev10,0.04673783381333908,61,1453,v_component_of_wind_lev08,0.044454640483464286,0,1453
PC_236,236,1453,latitude,0.07089105388977021,67,1453,latitude_sin,0.07043064871438137,109,1453,temperature_lev03,0.06765781136129911,52,1453
PC_237,237,1453,specific_humidity_lev10,0.07483970787489856,318,1453,geopotential_lev02,0.056161737494627835,9,1453,geopotential_lev01,0.055986277904384,15,1453
PC_238,238,1453,toa_incident_solar_radiation,0.05542560287607982,242,1453,vertical_velocity_lev28,0.055012001454252016,92,1453,vertical_velocity_lev27,0.053538161748154914,53,1453
PC_239,239,1453,specific_humidity_lev10,0.08968120031682528,420,1453,temperature_lev17,0.06507545514282823,22,1453,temperature_lev18,0.06468712063158923,1,1453
PC_240,240,1453,v_component_of_wind_lev09,0.07335821452328815,235,1453,vertical_velocity_lev36,0.07182032874409117,160,1453,vertical_velocity_lev35,0.06802720897552203,74,1453
PC_241,241,1453,specific_humidity_lev35,0.057102808521464356,17,1453,specific_humidity_lev36,0.056568000330052305,17,1453,specific_humidity_lev34,0.05596787577804058,5,1453
PC_242,242,1453,vertical_velocity_lev36,0.06868726816746237,271,1453,vertical_velocity_lev10,0.06761510533210806,124,1453,v_component_of_wind_lev09,0.06491407380482486,157,1453
PC_243,243,1453,vertical_velocity_lev12,0.08205507862069487,300,1453,vertical_velocity_lev13,0.07231364887866659,17,1453,vertical_velocity_lev14,0.06937011357599386,72,1453
PC_244,244,1453,specific_humidity_lev12,0.06084054258133611,299,1453,specific_humidity_lev11,0.05390235532714815,84,1453,specific_humidity_lev34,0.05049234281787451,43,1453
